id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2018-661501,2018-03-09,000001,Vente,318940,169,,IMP DU DRIVET,0088,69380,69059,Civrieux-d'Azergues,69,,,690590000A1449,,,,,,,,,,,,,0,1,Maison,82,4,S,sols,,,818,4.717824,45.860687
2018-661502,2018-02-28,000001,Vente en l'état futur d'achèvement,173000,,,,,,69040,Champagne-au-Mont-d'Or,69,,,69040000AH0161,,,18,,,,,,,,,,1,,,,,,,,,,4.792076,45.793216
2018-661502,2018-02-28,000001,Vente en l'état futur d'achèvement,173000,,,,,,69040,Champagne-au-Mont-d'Or,69,,,69040000AH0161,,,49,,,,,,,,,,1,,,,,,,,,,4.792076,45.793216
2018-661502,2018-02-28,000001,Vente en l'état futur d'achèvement,173000,,,,,,69040,Champagne-au-Mont-d'Or,69,,,69040000AH0161,,,43,,,,,,,,,,1,,,,,,,,,,4.792076,45.793216
2018-661503,2018-03-06,000001,Vente en l'état futur d'achèvement,422000,,,,,,69072,Dardilly,69,,,69072000AZ0085,,,15,,,,,,,,,,1,,,,,,,,,,,
2018-661504,2018-02-23,000001,Vente,480500,,,VERS LE BOIS,B034,69210,69208,Saint-Germain-Nuelles,69,,,692080000B0685,,,,,,,,,,,,,0,,,,,T,terres,,,976,4.608835,45.858598
2018-661504,2018-02-23,000001,Vente,480500,5191,,CHE DE LA CROIX HATY,0070,69210,69208,Saint-Germain-Nuelles,69,,,692080000B0687,,,,,,,,,,,,,0,1,Maison,117,5,S,sols,,,898,4.609137,45.858978
2018-661505,2018-02-28,000002,Vente en l'état futur d'achèvement,362000,,,,,,69069,Craponne,69,,,69069000AN0150,,,,,,,,,,,,,0,,,,,,,,,,,
2018-661505,2018-02-28,000002,Vente en l'état futur d'achèvement,362000,,,,,,69069,Craponne,69,,,69069000AN0153,,,,,,,,,,,,,0,,,,,,,,,,,
2018-661506,2018-02-27,000001,Vente en l'état futur d'achèvement,112800,,,,,,69081,Écully,69,,,69081000AS0134,,,54,,,,,,,,,,1,,,,,,,,,,4.771077,45.781611
2018-661507,2018-03-02,000001,Vente en l'état futur d'achèvement,255000,,,,,,69049,Chasselay,69,,,690490000A1841,,,5,,,,,,,,,,1,,,,,,,,,,4.769326,45.874826
2018-661507,2018-03-02,000001,Vente en l'état futur d'achèvement,255000,,,,,,69049,Chasselay,69,,,690490000A1841,,,40,,,,,,,,,,1,,,,,,,,,,4.769326,45.874826
2018-661507,2018-03-02,000001,Vente en l'état futur d'achèvement,255000,,,,,,69049,Chasselay,69,,,690490000A1841,,,30,,,,,,,,,,1,,,,,,,,,,4.769326,45.874826
2018-661508,2018-03-02,000001,Vente en l'état futur d'achèvement,272000,,,,,,69069,Craponne,69,,,69069000AW0272,,,47,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661508,2018-03-02,000001,Vente en l'état futur d'achèvement,272000,,,,,,69069,Craponne,69,,,69069000AW0272,,,37,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661508,2018-03-02,000001,Vente en l'état futur d'achèvement,272000,,,,,,69069,Craponne,69,,,69069000AW0272,,,9,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661509,2018-02-28,000001,Vente,135000,72,,GR GRANDE RUE,1340,69340,69089,Francheville,69,,,69089000BR0133,,,3,50.92,,,,,,,,,1,2,Appartement,55,2,,,,,,4.76504,45.736469
2018-661510,2018-03-08,000001,Vente,362000,5289,,RTE DE LA CAVE,0108,69490,69173,Sarcey,69,,,691730000B0871,,,,,,,,,,,,,0,1,Maison,150,5,S,sols,,,500,4.568759,45.875115
2018-661510,2018-03-08,000001,Vente,362000,5289,,RTE DE LA CAVE,0108,69490,69173,Sarcey,69,,,691730000B0871,,,,,,,,,,,,,0,1,Maison,150,5,J,jardins,,,623,4.568759,45.875115
2018-661511,2018-03-14,000001,Vente,110000,5105,,IMP DU CHATEAU DU MAS,0043,69690,69021,Bessenay,69,,,690210000C0528,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,22,4.554756,45.77606
2018-661511,2018-03-14,000001,Vente,110000,,,LE BOURG,B007,69690,69021,Bessenay,69,,,690210000C0529,,,,,,,,,,,,,0,,,,,S,sols,,,100,4.554667,45.776084
2018-661511,2018-03-14,000001,Vente,110000,7,,RUE CHANEL,0040,69690,69021,Bessenay,69,,,690210000C0536,,,,,,,,,,,,,0,1,Maison,80,3,S,sols,,,56,4.554635,45.776025
2018-661512,2018-03-23,000001,Vente,600000,12,,IMP DES GDES TERRES,0760,69340,69089,Francheville,69,,,69089000BN0007,,,,,,,,,,,,,0,1,Maison,80,4,S,sols,,,493,4.770115,45.742654
2018-661512,2018-03-23,000001,Vente,600000,12,,IMP DES GDES TERRES,0760,69340,69089,Francheville,69,,,69089000BN0007,,,,,,,,,,,,,0,1,Maison,80,4,J,jardins,,,452,4.770115,45.742654
2018-661513,2018-03-26,000001,Vente,375000,5745,,CHE DU REPIEL,0880,69210,69032,Bully,69,,,690320000C0821,,,,,,,,,,,,,0,1,Maison,150,5,S,sols,,,171,4.597602,45.850346
2018-661513,2018-03-26,000001,Vente,375000,,,REPIEL,B052,69210,69032,Bully,69,,,690320000C0847,,,,,,,,,,,,,0,,,,,P,prés,,,2183,4.597379,45.850479
2018-661513,2018-03-26,000001,Vente,375000,,,REPIEL,B052,69210,69032,Bully,69,,,690320000C0848,,,,,,,,,,,,,0,,,,,S,sols,,,19,4.597684,45.850356
2018-661514,2018-04-03,000001,Vente,275500,35,,PL DES TILLEULS,0500,69380,69125,Marcilly-d'Azergues,69,,,691250000A0714,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,30,0,S,sols,,,194,4.727586,45.871943
2018-661514,2018-04-03,000001,Vente,275500,35,,PL DES TILLEULS,0500,69380,69125,Marcilly-d'Azergues,69,,,691250000A0714,,,,,,,,,,,,,0,1,Maison,140,4,S,sols,,,194,4.727586,45.871943
2018-661515,2018-03-23,000001,Vente,600000,10,,IMP DES GDES TERRES,0760,69340,69089,Francheville,69,,,69089000BN0006,,,,,,,,,,,,,0,1,Maison,67,4,S,sols,,,896,4.7703,45.742821
2018-661516,2018-03-29,000001,Vente,170000,5043,,APINOST,B002,69210,69032,Bully,69,,,690320000C0253,,,,,,,,,,,,,0,1,Maison,86,5,J,jardins,,,1698,4.600847,45.855944
